LABID,RT_STD,RT_EXP,POLARITY
L0127,58.86,55.21999998,POS
L0140,782.52,770.5000002,POS
L0190,992.22,991.38,POS
L0251,186.24,189.02,POS
L0320,667.44,623.88,POS
L0352,869.16,842.1,POS
S0008,390.9,374.3,POS
S0042,293.52,290.88,POS
S0071,469.86,458.22,POS
S0249,547.86,558.18,POS
